,0,1,2,3
388,390,E. Marcondes | 27 | CM,-,
389,391,T. Strakosha | 27 | GK,-,
390,392,A. Laporte | 28 | CB,-,
391,393,P. Onuachu | 28 | FW,-,
392,394,J. Sá | 29 | GK,-,
393,395,M. Cornet | 26 | WAM,-,
394,396,D. Llorente | 29 | CB,-,
395,397,M. Lemina | 29 | CM,-,
396,398,L. Dendoncker | 27 | CM,-,
397,399,L. Dendoncker | 27 | CM,-,
398,400,M. Elneny | 30 | CM,-,
399,401,A. Maitland-Niles | 25 | FB,-,
400,402,J. Stacey | 26 | FB,-,
401,403,D. Raya | 27 | GK,-,
402,404,K. Phillips | 27 | CM,-,
403,405,L. Cook | 25 | CM,-,
404,406,M. Rodák | 26 | GK,-,
405,407,L. Augustinsson | 28 | FB,-,
406,408,D. Amartey | 28 | CB,-,
407,409,J. Rothwell | 27 | CM,-,
408,410,B. Pearson | 27 | CM,-,
409,411,J. Gbamin | 27 | CM,-,
410,412,V. Coufal | 30 | FB,-,
411,413,D. Carlos | 29 | CB,-,
412,414,Cafú | 29 | CM,-,
413,415,S. McKenna | 26 | CB,-,
414,416,A. Pérez | 29 | WAM,-,
415,417,J. Onomah | 25 | CAM,-,
416,418,M. Targett | 27 | FB,-,
417,419,A. Robinson | 25 | FB,-,
418,420,C. Lenglet | 27 | CB,-,
419,421,J. Gomez | 25 | CB,-,
420,422,R. Dias | 25 | CB,-,
421,423,J. Bednarek | 26 | CB,-,
422,424,J. Bednarek | 26 | CB,-,
423,425,D. Henderson | 25 | GK,-,
424,426,T. Davies | 24 | CM,-,
425,427,D. Sánchez | 26 | CB,-,
426,428,J. Riedewald | 26 | FB,-,
427,429,S. Canós | 25 | FB,-,
428,430,N. Keïta | 27 | CM,-,
429,431,M. Cucurella | 24 | FB,-,
430,432,N. Vlasic | 25 | CAM,-,
431,433,D. van de Beek | 25 | CAM,-,
432,434,T. Chalobah | 23 | CB,-,
433,435,J. Smith | 28 | GK,-,
434,436,J. Bree | 25 | FB,-,
435,437,V. Lindelöf | 28 | CB,-,
436,438,M. Nakamba | 28 | CM,-,
437,439,G. Scarpa | 28 | WAM,-,
438,440,K. Ajer | 24 | CB,-,
439,441,K. Tierney | 25 | FB,-,
440,442,R. Koch | 26 | CB,-,
441,443,R. Henry | 25 | FB,-,
442,444,M. Holgate | 26 | CB,-,
